Op[4]	A[32]	B[32]	Sa[5]	C[32]	V
3	971733098	-651560042	0	320173056	0
6	-2121170355	405119177	0	1768677764	1
4	1597974264	65963178	0	53347496	0
5	1971584141	2040750542	0	2107899343	0
8	-1419161468	693897394	0	1	0
9	-786309734	123061422	0	0	0
10	864729442	1239068093	0	2052068575	0
11	-1050966565	-1829223620	0	738473984	0
1	0	-730788450	16	228458496	0
12	0	359676941	4	22479808	0
13	0	-2014459202	5	-62951851	0
14	1840794976	0	0	0	0
15	2001703481	0	0	1	0
2	659977328	1199893409	0	1859870737	0
6	-704181883	-1863742581	0	1159560698	0
4	-676345831	-2087860903	0	-2087862247	0
5	-365847410	1466840506	0	-8405570	0
8	1749396845	-932353016	0	1	0
9	650602880	1804910365	0	0	0
10	303354087	1495060691	0	1258815540	0
11	-2113862032	259049207	0	1888368904	0
0	0	1672639682	12	659300352	0
12	0	-2142873190	2	538023526	0
13	0	-1021550853	8	-3990434	0
14	-696296438	0	0	1	0
15	-1186664290	0	0	0	0
2	1598014965	-94119039	0	1503895926	0
6	2055614376	1655523226	0	400091150	0
4	1149983844	-702837793	0	1141573700	0
5	871666435	736278643	0	1006025587	0
8	-1430611003	453220744	0	1	0
9	-9177588	-1861197836	0	0	0
10	630708658	1152088966	0	1631363636	0
11	707562948	1403882495	0	-2074972160	0
1	0	-1525340571	5	-1566258016	0
12	0	-2137242593	3	269715587	0
13	0	-26311603	22	-7	0
14	-1730847845	0	0	1	0
15	-370285289	0	0	0	0
2	266643868	537132647	0	803776515	0
6	1095113989	326901486	0	768212503	0
4	-164079645	-774863071	0	-804255967	0
5	1191706259	2123383102	0	2140667839	0
8	1080559973	354603168	0	1	0
9	2045556952	-440481334	0	0	0
10	-1383151016	-389724190	0	1162579386	0
11	-216671864	-1533787391	0	141173878	0
0	0	572709151	29	-536870912	0
12	0	-620162736	23	438	0
13	0	-1487652370	2	-371913093	0
14	-1726972010	0	0	1	0
15	-34316193	0	0	0	0
3	182343616	1451242782	0	1633586398	0
7	512165739	-1610022763	0	2122188502	0
4	1457787902	-1593637387	0	500	0
5	-1649970297	1141280841	0	-576195633	0
8	1300327156	-247403443	0	1	0
9	-1041566315	-1252991263	0	0	0
10	-1863278831	1665476363	0	-206194662	0
11	-654842220	-689689305	0	554176584	0
0	0	1452237536	20	771751936	0
12	0	1822233333	27	13	0
13	0	1280021688	10	1250021	0
14	-786656436	0	0	1	0
15	-953797758	0	0	0	0
3	-1298481089	-1566991861	0	1429494346	1
7	-196392232	894751626	0	-1091143858	0
4	200462296	-1275707641	0	66195200	0
5	1639202266	-156189479	0	-139149861	0
8	970632086	-695441883	0	1	0
9	-659563353	2082734612	0	0	0
10	1951799651	1162921589	0	822533910	0
11	419751591	-1587080838	0	1184368640	0
1	0	-1911192497	22	331350016	0
12	0	15998539	28	0	0
13	0	228355268	27	1	0
14	-298594753	0	0	1	0
15	1514612642	0	0	1	0
2	-602567393	-1826664335	0	1865735568	1
6	-1571835293	-1271926975	0	-299908318	0
4	1960039541	-171316408	0	1958854720	0
5	-1414026004	-1202944288	0	-1140871444	0
8	-348715039	-449088930	0	1	0
9	-200610664	-1544512885	0	0	0
10	-2044634811	1008492317	0	-1170405800	0
11	252446591	366540500	0	-534575104	0
1	0	1464905395	0	1464905395	0
12	0	1148018241	5	35875570	0
13	0	2102939743	8	8214608	0
14	1778048500	0	0	0	0
15	-2063545350	0	0	0	0
2	-347596649	1612128197	0	1264531548	0
6	1247579307	1953507510	0	-705928203	0
4	1674092913	1710182340	0	1640497472	0
5	-627344535	2097368641	0	-6586519	0
8	-570324467	-1301083694	0	1	0
9	-1832224230	-1207396150	0	0	0
10	1369132906	-2036478221	0	-687439463	0
11	764735973	-192235695	0	39913482	0
1	0	-1176123806	6	2037487744	0
12	0	1318023651	31	0	0
13	0	583034027	28	2	0
14	1776008761	0	0	0	0
15	-858675239	0	0	0	0
3	1264663625	-1733118441	0	-468454816	0
6	-1910297155	195439854	0	-2105737009	0
4	-547509235	-1779626515	0	-1790112755	0
5	511757866	-1252117717	0	-1075904725	0
8	-1312254224	-1474737859	0	1	0
9	-355108039	-858760016	0	0	0
10	-178048972	-880097040	0	1055520964	0
11	1656312660	-1063974293	0	490906752	0
0	0	-683679578	13	-65748992	0
12	0	-587675354	12	905100	0
13	0	311220085	0	311220085	0
14	1466952991	0	0	0	0
